id,pincode,city,state,country,created_at,updated_at
73,110074,Delhi,Delhi,India,2021-07-06,2021-07-06
74,110075,Delhi,Delhi,India,2021-07-06,2021-07-06
75,110076,Delhi,Delhi,India,2021-07-06,2021-07-06
76,110077,Delhi,Delhi,India,2021-07-06,2021-07-06
77,110078,Delhi,Delhi,India,2021-07-06,2021-07-06
78,110080,Delhi,Delhi,India,2021-07-06,2021-07-06
79,110081,Delhi,Delhi,India,2021-07-06,2021-07-06
80,110082,Delhi,Delhi,India,2021-07-06,2021-07-06
81,110083,Delhi,Delhi,India,2021-07-06,2021-07-06
82,110084,Delhi,Delhi,India,2021-07-06,2021-07-06
83,110085,Delhi,Delhi,India,2021-07-06,2021-07-06
84,110086,Delhi,Delhi,India,2021-07-06,2021-07-06
85,110087,Delhi,Delhi,India,2021-07-06,2021-07-06
86,110088,Delhi,Delhi,India,2021-07-06,2021-07-06
87,110089,Delhi,Delhi,India,2021-07-06,2021-07-06
88,110090,Delhi,Delhi,India,2021-07-06,2021-07-06
89,110091,Delhi,Delhi,India,2021-07-06,2021-07-06
90,110092,Delhi,Delhi,India,2021-07-06,2021-07-06
91,110093,Delhi,Delhi,India,2021-07-06,2021-07-06
92,110094,Delhi,Delhi,India,2021-07-06,2021-07-06
93,110095,Delhi,Delhi,India,2021-07-06,2021-07-06
94,110096,Delhi,Delhi,India,2021-07-06,2021-07-06
95,110097,Delhi,Delhi,India,2021-07-06,2021-07-06
96,121001,Faridabad,Haryana,India,2021-07-06,2021-07-06
97,121002,Faridabad,Haryana,India,2021-07-06,2021-07-06
98,121003,Faridabad,Haryana,India,2021-07-06,2021-07-06
99,121004,Faridabad,Haryana,India,2021-07-06,2021-07-06
100,121005,Faridabad,Haryana,India,2021-07-06,2021-07-06
101,121006,Faridabad,Haryana,India,2021-07-06,2021-07-06
102,121007,Faridabad,Haryana,India,2021-07-06,2021-07-06
103,121008,Faridabad,Haryana,India,2021-07-06,2021-07-06
104,121009,Faridabad,Haryana,India,2021-07-06,2021-07-06
105,121010,Faridabad,Haryana,India,2021-07-06,2021-07-06
106,121012,Faridabad,Haryana,India,2021-07-06,2021-07-06
107,121013,Faridabad,Haryana,India,2021-07-06,2021-07-06
108,121101,Faridabad,Haryana,India,2021-07-06,2021-07-06
109,121102,Faridabad,Haryana,India,2021-07-06,2021-07-06
110,121103,Faridabad,Haryana,India,2021-07-06,2021-07-06
111,121105,Faridabad,Haryana,India,2021-07-06,2021-07-06
112,121106,Faridabad,Haryana,India,2021-07-06,2021-07-06
113,121107,Faridabad,Haryana,India,2021-07-06,2021-07-06
114,122001,Gurugram,Haryana,India,2021-07-06,2021-07-06
115,122002,Gurugram,Haryana,India,2021-07-06,2021-07-06
116,122003,Gurugram,Haryana,India,2021-07-06,2021-07-06
117,122004,Gurugram,Haryana,India,2021-07-06,2021-07-06
118,122005,Gurugram,Haryana,India,2021-07-06,2021-07-06
119,122006,Gurugram,Haryana,India,2021-07-06,2021-07-06
120,122007,Gurugram,Haryana,India,2021-07-06,2021-07-06
121,122008,Gurugram,Haryana,India,2021-07-06,2021-07-06
122,122009,Gurugram,Haryana,India,2021-07-06,2021-07-06
123,122010,Gurugram,Haryana,India,2021-07-06,2021-07-06
124,122011,Gurugram,Haryana,India,2021-07-06,2021-07-06
125,122015,Gurugram,Haryana,India,2021-07-06,2021-07-06
126,122016,Gurugram,Haryana,India,2021-07-06,2021-07-06
127,122017,Gurugram,Haryana,India,2021-07-06,2021-07-06
128,122018,Gurugram,Haryana,India,2021-07-06,2021-07-06
129,122051,Gurugram,Haryana,India,2021-07-06,2021-07-06
130,122052,Gurugram,Haryana,India,2021-07-06,2021-07-06
131,122101,Gurugram,Haryana,India,2021-07-06,2021-07-06
132,122102,Gurugram,Haryana,India,2021-07-06,2021-07-06
133,122103,Gurugram,Haryana,India,2021-07-06,2021-07-06
134,122104,Gurugram,Haryana,India,2021-07-06,2021-07-06
135,122105,Gurugram,Haryana,India,2021-07-06,2021-07-06
136,122107,Gurugram,Haryana,India,2021-07-06,2021-07-06
137,122108,Gurugram,Haryana,India,2021-07-06,2021-07-06
138,122413,Gurugram,Haryana,India,2021-07-06,2021-07-06
139,122414,Gurugram,Haryana,India,2021-07-06,2021-07-06
140,122502,Gurugram,Haryana,India,2021-07-06,2021-07-06
141,122503,Gurugram,Haryana,India,2021-07-06,2021-07-06
142,122504,Gurugram,Haryana,India,2021-07-06,2021-07-06
143,122505,Gurugram,Haryana,India,2021-07-06,2021-07-06
144,122506,Gurugram,Haryana,India,2021-07-06,2021-07-06
145,122508,Gurugram,Haryana,India,2021-07-06,2021-07-06
146,123001,Gurugram,Haryana,India,2021-07-06,2021-07-06
147,123021,Gurugram,Haryana,India,2021-07-06,2021-07-06
148,123023,Gurugram,Haryana,India,2021-07-06,2021-07-06
149,123024,Gurugram,Haryana,India,2021-07-06,2021-07-06
150,123027,Gurugram,Haryana,India,2021-07-06,2021-07-06
151,123028,Gurugram,Haryana,India,2021-07-06,2021-07-06
152,123029,Gurugram,Haryana,India,2021-07-06,2021-07-06
153,123034,Gurugram,Haryana,India,2021-07-06,2021-07-06
154,123035,Gurugram,Haryana,India,2021-07-06,2021-07-06
155,123101,Gurugram,Haryana,India,2021-07-06,2021-07-06
156,123102,Gurugram,Haryana,India,2021-07-06,2021-07-06
157,123103,Gurugram,Haryana,India,2021-07-06,2021-07-06
158,123106,Gurugram,Haryana,India,2021-07-06,2021-07-06
159,123110,Gurugram,Haryana,India,2021-07-06,2021-07-06
160,123301,Gurugram,Haryana,India,2021-07-06,2021-07-06
161,123302,Gurugram,Haryana,India,2021-07-06,2021-07-06
162,123303,Gurugram,Haryana,India,2021-07-06,2021-07-06
163,123401,Gurugram,Haryana,India,2021-07-06,2021-07-06
164,123411,Gurugram,Haryana,India,2021-07-06,2021-07-06
165,123412,Gurugram,Haryana,India,2021-07-06,2021-07-06
166,123501,Gurugram,Haryana,India,2021-07-06,2021-07-06
167,124001,Rohtak,Haryana,India,2021-07-06,2021-07-06
168,124010,Rohtak,Haryana,India,2021-07-06,2021-07-06
169,124021,Rohtak,Haryana,India,2021-07-06,2021-07-06
170,124022,Rohtak,Haryana,India,2021-07-06,2021-07-06
171,124102,Rohtak,Haryana,India,2021-07-06,2021-07-06
172,124103,Rohtak,Haryana,India,2021-07-06,2021-07-06
173,124104,Rohtak,Haryana,India,2021-07-06,2021-07-06
174,124105,Rohtak,Haryana,India,2021-07-06,2021-07-06
175,124106,Rohtak,Haryana,India,2021-07-06,2021-07-06
176,124107,Rohtak,Haryana,India,2021-07-06,2021-07-06
177,124108,Rohtak,Haryana,India,2021-07-06,2021-07-06
178,124109,Rohtak,Haryana,India,2021-07-06,2021-07-06
179,124111,Rohtak,Haryana,India,2021-07-06,2021-07-06
180,124112,Rohtak,Haryana,India,2021-07-06,2021-07-06
181,124113,Rohtak,Haryana,India,2021-07-06,2021-07-06
182,124141,Rohtak,Haryana,India,2021-07-06,2021-07-06
183,124142,Rohtak,Haryana,India,2021-07-06,2021-07-06
184,124146,Rohtak,Haryana,India,2021-07-06,2021-07-06
185,124201,Rohtak,Haryana,India,2021-07-06,2021-07-06
186,124202,Rohtak,Haryana,India,2021-07-06,2021-07-06
187,124303,Rohtak,Haryana,India,2021-07-06,2021-07-06
188,124401,Rohtak,Haryana,India,2021-07-06,2021-07-06
189,124404,Rohtak,Haryana,India,2021-07-06,2021-07-06
190,124406,Rohtak,Haryana,India,2021-07-06,2021-07-06
191,124411,Rohtak,Haryana,India,2021-07-06,2021-07-06
192,124412,Rohtak,Haryana,India,2021-07-06,2021-07-06
193,124501,Rohtak,Haryana,India,2021-07-06,2021-07-06
194,124504,Rohtak,Haryana,India,2021-07-06,2021-07-06
195,124505,Rohtak,Haryana,India,2021-07-06,2021-07-06
196,124506,Rohtak,Haryana,India,2021-07-06,2021-07-06
197,124507,Rohtak,Haryana,India,2021-07-06,2021-07-06
198,124508,Rohtak,Haryana,India,2021-07-06,2021-07-06
199,124513,Rohtak,Haryana,India,2021-07-06,2021-07-06
200,124514,Rohtak,Haryana,India,2021-07-06,2021-07-06
201,125001,Hissar,Haryana,India,2021-07-06,2021-07-06
202,125004,Hissar,Haryana,India,2021-07-06,2021-07-06
203,125005,Hissar,Haryana,India,2021-07-06,2021-07-06
204,125006,Hissar,Haryana,India,2021-07-06,2021-07-06
205,125007,Hissar,Haryana,India,2021-07-06,2021-07-06
206,125011,Hissar,Haryana,India,2021-07-06,2021-07-06
207,125033,Hissar,Haryana,India,2021-07-06,2021-07-06
208,125037,Hissar,Haryana,India,2021-07-06,2021-07-06
209,125038,Hissar,Haryana,India,2021-07-06,2021-07-06
210,125039,Hissar,Haryana,India,2021-07-06,2021-07-06
211,125042,Hissar,Haryana,India,2021-07-06,2021-07-06
212,125044,Hissar,Haryana,India,2021-07-06,2021-07-06
213,125047,Hissar,Haryana,India,2021-07-06,2021-07-06
214,125048,Hissar,Haryana,India,2021-07-06,2021-07-06
215,125049,Hissar,Haryana,India,2021-07-06,2021-07-06
216,125050,Hissar,Haryana,India,2021-07-06,2021-07-06
217,125051,Hissar,Haryana,India,2021-07-06,2021-07-06
218,125052,Hissar,Haryana,India,2021-07-06,2021-07-06
219,125053,Hissar,Haryana,India,2021-07-06,2021-07-06
220,125054,Hissar,Haryana,India,2021-07-06,2021-07-06
221,125055,Hissar,Haryana,India,2021-07-06,2021-07-06
222,125056,Hissar,Haryana,India,2021-07-06,2021-07-06
223,125058,Hissar,Haryana,India,2021-07-06,2021-07-06
224,125060,Hissar,Haryana,India,2021-07-06,2021-07-06
225,125075,Hissar,Haryana,India,2021-07-06,2021-07-06
226,125076,Hissar,Haryana,India,2021-07-06,2021-07-06
227,125077,Hissar,Haryana,India,2021-07-06,2021-07-06
228,125078,Hissar,Haryana,India,2021-07-06,2021-07-06
229,125101,Hissar,Haryana,India,2021-07-06,2021-07-06
230,125102,Hissar,Haryana,India,2021-07-06,2021-07-06
231,125103,Hissar,Haryana,India,2021-07-06,2021-07-06
232,125104,Hissar,Haryana,India,2021-07-06,2021-07-06
233,125106,Hissar,Haryana,India,2021-07-06,2021-07-06
234,125110,Hissar,Haryana,India,2021-07-06,2021-07-06
235,125111,Hissar,Haryana,India,2021-07-06,2021-07-06
236,125112,Hissar,Haryana,India,2021-07-06,2021-07-06
237,125113,Hissar,Haryana,India,2021-07-06,2021-07-06
238,125120,Hissar,Haryana,India,2021-07-06,2021-07-06
239,125121,Hissar,Haryana,India,2021-07-06,2021-07-06
240,125133,Hissar,Haryana,India,2021-07-06,2021-07-06
241,125201,Hissar,Haryana,India,2021-07-06,2021-07-06
242,126101,Karnal,Haryana,India,2021-07-06,2021-07-06
243,126102,Karnal,Haryana,India,2021-07-06,2021-07-06
244,126110,Karnal,Haryana,India,2021-07-06,2021-07-06
245,126111,Karnal,Haryana,India,2021-07-06,2021-07-06
246,126112,Karnal,Haryana,India,2021-07-06,2021-07-06
247,126113,Karnal,Haryana,India,2021-07-06,2021-07-06
248,126114,Karnal,Haryana,India,2021-07-06,2021-07-06
249,126115,Karnal,Haryana,India,2021-07-06,2021-07-06
250,126116,Karnal,Haryana,India,2021-07-06,2021-07-06
251,126125,Karnal,Haryana,India,2021-07-06,2021-07-06
252,126152,Karnal,Haryana,India,2021-07-06,2021-07-06
253,127021,Bhiwani,Haryana,India,2021-07-06,2021-07-06
254,127022,Bhiwani,Haryana,India,2021-07-06,2021-07-06
255,127025,Bhiwani,Haryana,India,2021-07-06,2021-07-06
256,127026,Bhiwani,Haryana,India,2021-07-06,2021-07-06
257,127027,Bhiwani,Haryana,India,2021-07-06,2021-07-06
258,127028,Bhiwani,Haryana,India,2021-07-06,2021-07-06
259,127029,Bhiwani,Haryana,India,2021-07-06,2021-07-06
260,127030,Bhiwani,Haryana,India,2021-07-06,2021-07-06
261,127031,Bhiwani,Haryana,India,2021-07-06,2021-07-06
262,127032,Bhiwani,Haryana,India,2021-07-06,2021-07-06
263,127035,Bhiwani,Haryana,India,2021-07-06,2021-07-06
264,127040,Bhiwani,Haryana,India,2021-07-06,2021-07-06
265,127041,Bhiwani,Haryana,India,2021-07-06,2021-07-06
266,127042,Bhiwani,Haryana,India,2021-07-06,2021-07-06
267,127043,Bhiwani,Haryana,India,2021-07-06,2021-07-06
268,127045,Bhiwani,Haryana,India,2021-07-06,2021-07-06
269,127046,Bhiwani,Haryana,India,2021-07-06,2021-07-06
270,127111,Bhiwani,Haryana,India,2021-07-06,2021-07-06
271,127114,Bhiwani,Haryana,India,2021-07-06,2021-07-06
272,127201,Bhiwani,Haryana,India,2021-07-06,2021-07-06
273,127306,Bhiwani,Haryana,India,2021-07-06,2021-07-06
274,127307,Bhiwani,Haryana,India,2021-07-06,2021-07-06
275,127308,Bhiwani,Haryana,India,2021-07-06,2021-07-06
276,127309,Bhiwani,Haryana,India,2021-07-06,2021-07-06
277,127310,Bhiwani,Haryana,India,2021-07-06,2021-07-06
278,131001,Sonepat,Haryana,India,2021-07-06,2021-07-06
279,131021,Sonepat,Haryana,India,2021-07-06,2021-07-06
280,131022,Sonepat,Haryana,India,2021-07-06,2021-07-06
281,131023,Sonepat,Haryana,India,2021-07-06,2021-07-06
282,131024,Sonepat,Haryana,India,2021-07-06,2021-07-06
283,131027,Sonepat,Haryana,India,2021-07-06,2021-07-06
284,131028,Sonepat,Haryana,India,2021-07-06,2021-07-06
285,131029,Sonepat,Haryana,India,2021-07-06,2021-07-06
286,131039,Sonepat,Haryana,India,2021-07-06,2021-07-06
287,131101,Sonepat,Haryana,India,2021-07-06,2021-07-06
288,131102,Sonepat,Haryana,India,2021-07-06,2021-07-06
289,131103,Sonepat,Haryana,India,2021-07-06,2021-07-06
290,131301,Sonepat,Haryana,India,2021-07-06,2021-07-06
291,131302,Sonepat,Haryana,India,2021-07-06,2021-07-06
292,131304,Sonepat,Haryana,India,2021-07-06,2021-07-06
293,131305,Sonepat,Haryana,India,2021-07-06,2021-07-06
294,131306,Sonepat,Haryana,India,2021-07-06,2021-07-06
295,131402,Sonepat,Haryana,India,2021-07-06,2021-07-06
296,131403,Sonepat,Haryana,India,2021-07-06,2021-07-06
297,131408,Sonepat,Haryana,India,2021-07-06,2021-07-06
298,131409,Sonepat,Haryana,India,2021-07-06,2021-07-06
299,132001,Karnal,Haryana,India,2021-07-06,2021-07-06
300,132022,Karnal,Haryana,India,2021-07-06,2021-07-06
301,132023,Karnal,Haryana,India,2021-07-06,2021-07-06
302,132024,Karnal,Haryana,India,2021-07-06,2021-07-06
303,132036,Karnal,Haryana,India,2021-07-06,2021-07-06
304,132037,Karnal,Haryana,India,2021-07-06,2021-07-06
305,132039,Karnal,Haryana,India,2021-07-06,2021-07-06
306,132040,Karnal,Haryana,India,2021-07-06,2021-07-06
307,132041,Karnal,Haryana,India,2021-07-06,2021-07-06
308,132046,Karnal,Haryana,India,2021-07-06,2021-07-06
309,132054,Karnal,Haryana,India,2021-07-06,2021-07-06
310,132101,Karnal,Haryana,India,2021-07-06,2021-07-06
311,132102,Karnal,Haryana,India,2021-07-06,2021-07-06
312,132103,Karnal,Haryana,India,2021-07-06,2021-07-06
313,132104,Karnal,Haryana,India,2021-07-06,2021-07-06
314,132105,Karnal,Haryana,India,2021-07-06,2021-07-06
315,132106,Karnal,Haryana,India,2021-07-06,2021-07-06
316,132107,Karnal,Haryana,India,2021-07-06,2021-07-06
317,132108,Karnal,Haryana,India,2021-07-06,2021-07-06
318,132113,Karnal,Haryana,India,2021-07-06,2021-07-06
319,132114,Karnal,Haryana,India,2021-07-06,2021-07-06
320,132115,Karnal,Haryana,India,2021-07-06,2021-07-06
321,132116,Karnal,Haryana,India,2021-07-06,2021-07-06
322,132117,Karnal,Haryana,India,2021-07-06,2021-07-06
323,132122,Karnal,Haryana,India,2021-07-06,2021-07-06
324,132140,Karnal,Haryana,India,2021-07-06,2021-07-06
325,132145,Karnal,Haryana,India,2021-07-06,2021-07-06
326,132157,Karnal,Haryana,India,2021-07-06,2021-07-06
327,133001,Ambala,Haryana,India,2021-07-06,2021-07-06
328,133004,Ambala,Haryana,India,2021-07-06,2021-07-06
329,133005,Ambala,Haryana,India,2021-07-06,2021-07-06
330,133006,Ambala,Haryana,India,2021-07-06,2021-07-06
331,133101,Ambala,Haryana,India,2021-07-06,2021-07-06
332,133102,Ambala,Haryana,India,2021-07-06,2021-07-06
333,133103,Ambala,Haryana,India,2021-07-06,2021-07-06
334,133104,Ambala,Haryana,India,2021-07-06,2021-07-06
335,133201,Ambala,Haryana,India,2021-07-06,2021-07-06
336,133202,Ambala,Haryana,India,2021-07-06,2021-07-06
337,133203,Ambala,Haryana,India,2021-07-06,2021-07-06
338,133204,Ambala,Haryana,India,2021-07-06,2021-07-06
339,133205,Ambala,Haryana,India,2021-07-06,2021-07-06
340,133206,Ambala,Haryana,India,2021-07-06,2021-07-06
341,133207,Ambala,Haryana,India,2021-07-06,2021-07-06
342,133301,Ambala,Haryana,India,2021-07-06,2021-07-06
343,133302,Ambala,Haryana,India,2021-07-06,2021-07-06
344,134003,Ambala,Haryana,India,2021-07-06,2021-07-06
345,134005,Ambala,Haryana,India,2021-07-06,2021-07-06
346,134007,Ambala,Haryana,India,2021-07-06,2021-07-06
347,134101,Ambala,Haryana,India,2021-07-06,2021-07-06
348,134102,Ambala,Haryana,India,2021-07-06,2021-07-06
349,134103,Ambala,Haryana,India,2021-07-06,2021-07-06
350,134104,Ambala,Haryana,India,2021-07-06,2021-07-06
351,134107,Ambala,Haryana,India,2021-07-06,2021-07-06
352,134108,Ambala,Haryana,India,2021-07-06,2021-07-06
353,134109,Ambala,Haryana,India,2021-07-06,2021-07-06
354,134112,Ambala,Haryana,India,2021-07-06,2021-07-06
355,134113,Ambala,Haryana,India,2021-07-06,2021-07-06
356,134114,Ambala,Haryana,India,2021-07-06,2021-07-06
357,134116,Ambala,Haryana,India,2021-07-06,2021-07-06
358,134117,Ambala,Haryana,India,2021-07-06,2021-07-06
359,134118,Ambala,Haryana,India,2021-07-06,2021-07-06
360,134201,Ambala,Haryana,India,2021-07-06,2021-07-06
361,134202,Ambala,Haryana,India,2021-07-06,2021-07-06
362,134203,Ambala,Haryana,India,2021-07-06,2021-07-06
363,134204,Ambala,Haryana,India,2021-07-06,2021-07-06
364,134205,Ambala,Haryana,India,2021-07-06,2021-07-06
365,135001,Ambala,Haryana,India,2021-07-06,2021-07-06
366,135002,Ambala,Haryana,India,2021-07-06,2021-07-06
367,135003,Ambala,Haryana,India,2021-07-06,2021-07-06
368,135004,Ambala,Haryana,India,2021-07-06,2021-07-06
369,135021,Ambala,Haryana,India,2021-07-06,2021-07-06
370,135101,Ambala,Haryana,India,2021-07-06,2021-07-06
371,135102,Ambala,Haryana,India,2021-07-06,2021-07-06
372,135103,Ambala,Haryana,India,2021-07-06,2021-07-06
373,135106,Ambala,Haryana,India,2021-07-06,2021-07-06
374,135133,Ambala,Haryana,India,2021-07-06,2021-07-06
375,136020,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
376,136021,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
377,136026,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
378,136027,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
379,136030,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
380,136033,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
381,136034,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
382,136035,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
383,136038,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
384,136042,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
385,136043,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
386,136044,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
387,136117,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
388,136118,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
389,136119,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
390,136128,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
391,136129,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
392,136130,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
393,136131,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
394,136132,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
395,136135,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
396,136136,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
397,136156,Kurukshetra,Haryana,India,2021-07-06,2021-07-06
398,140001,Rupnagar,Punjab,India,2021-07-06,2021-07-06
399,140101,Ropar,Punjab,India,2021-07-06,2021-07-06
400,140102,Ropar,Punjab,India,2021-07-06,2021-07-06
401,140103,Mohali,Punjab,India,2021-07-06,2021-07-06
402,140108,Ropar,Punjab,India,2021-07-06,2021-07-06
403,140109,Mohali,Punjab,India,2021-07-06,2021-07-06
404,140110,Mohali,Punjab,India,2021-07-06,2021-07-06
405,140111,Rupnagar,Punjab,India,2021-07-06,2021-07-06
406,140112,Mohali,Punjab,India,2021-07-06,2021-07-06
407,140113,Rupnagar,Punjab,India,2021-07-06,2021-07-06
408,140114,Rupnagar,Punjab,India,2021-07-06,2021-07-06
409,140115,Ropar,Punjab,India,2021-07-06,2021-07-06
410,140116,Rupnagar,Punjab,India,2021-07-06,2021-07-06
411,140117,Ropar,Punjab,India,2021-07-06,2021-07-06
412,140118,Ropar,Punjab,India,2021-07-06,2021-07-06
413,140119,Chandigarh,Chandigarh,India,2021-07-06,2021-07-06
414,140123,Rupnagar,Punjab,India,2021-07-06,2021-07-06
415,140124,Rupnagar,Punjab,India,2021-07-06,2021-07-06
416,140125,Chandigarh,Chandigarh,India,2021-07-06,2021-07-06
417,140126,Ropar,Punjab,India,2021-07-06,2021-07-06
418,140133,Chandigarh,Chandigarh,India,2021-07-06,2021-07-06
419,140201,Mohali,Punjab,India,2021-07-06,2021-07-06
420,140301,Mohali,Punjab,India,2021-07-06,2021-07-06
421,140306,Rupnagar,Punjab,India,2021-07-06,2021-07-06
422,140307,Mohali,Punjab,India,2021-07-06,2021-07-06
423,140308,Rupnagar,Punjab,India,2021-07-06,2021-07-06
424,140401,Patiala,Punjab,India,2021-07-06,2021-07-06
425,140402,Patiala,Punjab,India,2021-07-06,2021-07-06
426,140405,Fatehgarh Sahib,Punjab,India,2021-07-06,2021-07-06
427,140406,Fatehgarh Sahib,Punjab,India,2021-07-06,2021-07-06
428,140407,Fatehgarh Sahib,Punjab,India,2021-07-06,2021-07-06
429,140412,Fatehgarh Sahib,Punjab,India,2021-07-06,2021-07-06
430,140413,Mohali,Punjab,India,2021-07-06,2021-07-06
431,140417,Fatehgarh Sahib,Punjab,India,2021-07-06,2021-07-06
432,140501,Mohali,Punjab,India,2021-07-06,2021-07-06
433,140506,Mohali,Punjab,India,2021-07-06,2021-07-06
434,140507,Mohali,Punjab,India,2021-07-06,2021-07-06
435,140601,Patiala,Punjab,India,2021-07-06,2021-07-06
436,140602,Fatehgarh Sahib,Punjab,India,2021-07-06,2021-07-06
437,140603,Mohali,Punjab,India,2021-07-06,2021-07-06
438,140604,Mohali,Punjab,India,2021-07-06,2021-07-06
439,140701,Patiala,Punjab,India,2021-07-06,2021-07-06
440,140702,Patiala,Punjab,India,2021-07-06,2021-07-06
